Date (dd-mmm-yyyy), Mean Mesor, Uncertainty of Mesor, Mean Amp., Uncertainty of Amp., Mean Phase, Uncertainty of Phase (hr), Mean HRpS, Uncertainty of HRpS, Mean Autocorr., Uncertainty of Autocorr., Number of Data Points, 2 Day Step Count, Existence of Time Zone Information 
06-Nov-2020, 74.246093, 1.559372, 6.464279, 2.025205, 04:53, 1.377767, 0.239687, 0.032314, 0.797492, 0.031043, 399, 11586, 1.000000
07-Nov-2020, 76.187690, 1.818431, 12.310944, 2.754079, 03:03, 0.620679, 0.248279, 0.024436, 0.784200, 0.032619, 379, 22674, 1.000000
08-Nov-2020, 77.981627, 1.137288, 13.863010, 1.765771, 02:18, 0.304080, 0.262845, 0.022186, 0.637180, 0.040338, 375, 32204, 1.000000
09-Nov-2020, 75.388134, 1.696181, 8.177084, 2.563764, 02:30, 0.991013, 0.312798, 0.024949, 0.789383, 0.032374, 383, 21373, 1.000000
10-Nov-2020, 74.590619, 1.176072, 5.765300, 1.600989, 04:28, 1.114669, 0.276793, 0.029105, 0.723577, 0.035559, 404, 14336, 1.000000
11-Nov-2020, 74.710187, 0.875811, 6.418686, 1.266370, 03:52, 0.645836, 0.323942, 0.031652, 0.579182, 0.041775, 405, 15091, 1.000000
12-Nov-2020, 72.849610, 0.984234, 5.350686, 1.429045, 02:41, 0.794599, 0.382814, 0.039707, 0.566725, 0.039232, 387, 13151, 1.000000
13-Nov-2020, 75.472885, 1.656704, 4.282836, 2.241003, 01:26, 2.694461, 0.334532, 0.045643, 0.712406, 0.034790, 353, 13706, 1.000000
14-Nov-2020, 76.453681, 1.559373, 7.052536, 2.378680, 01:47, 1.141882, 0.330093, 0.037354, 0.695067, 0.037659, 353, 22299, 1.000000
15-Nov-2020, 74.315787, 1.000556, 9.498747, 1.529310, 02:42, 0.394208, 0.319324, 0.030067, 0.510134, 0.044662, 379, 26260, 1.000000
16-Nov-2020, 76.506576, 1.662584, 3.047547, 1.738739, 01:50, 4.027194, 0.334355, 0.035291, 0.717416, 0.035818, 390, 18452, 1.000000
17-Nov-2020, 73.947940, 1.426850, 2.596829, 1.376233, 06:33, 4.089569, 0.437405, 0.041863, 0.728876, 0.034130, 409, 15006, 1.000000
18-Nov-2020, 75.317454, 1.269285, 2.994022, 1.553590, 02:33, 2.905517, 0.322303, 0.035993, 0.683342, 0.036103, 409, 18461, 1.000000
19-Nov-2020, 76.590232, 1.410269, 2.538260, 1.370127, 22:22, 4.205706, 0.263998, 0.031883, 0.730509, 0.034078, 415, 17615, 1.000000
20-Nov-2020, 76.839252, 1.723733, 2.842845, 1.603872, 01:59, 5.002777, 0.174984, 0.039488, 0.708159, 0.034766, 398, 13914, 1.000000
21-Nov-2020, 79.790388, 2.131489, 7.430369, 2.734652, 00:28, 1.580545, 0.197590, 0.039006, 0.709257, 0.035843, 374, 26020, 1.000000
22-Nov-2020, 78.551387, 1.772583, 10.222606, 2.505674, 01:19, 0.780949, 0.290655, 0.034632, 0.707995, 0.036586, 372, 29473, 1.000000
23-Nov-2020, 78.212086, 1.962812, 5.409354, 2.235361, 22:54, 2.236546, 0.304439, 0.042684, 0.732137, 0.034798, 382, 18194, 1.000000
24-Nov-2020, 75.650478, 2.177256, 5.974350, 2.895278, 01:14, 2.312996, 0.264523, 0.038375, 0.772069, 0.033009, 379, 15374, 1.000000
25-Nov-2020, 74.687547, 2.215027, 11.792678, 3.272733, 02:30, 0.771391, 0.292076, 0.029190, 0.779597, 0.033714, 344, 19655, 1.000000
26-Nov-2020, 78.760121, 1.310001, 10.213931, 1.888294, 02:10, 0.492931, 0.268467, 0.026572, 0.619102, 0.042543, 350, 23684, 1.000000
27-Nov-2020, 78.021058, 1.197797, 7.516319, 1.817133, 02:50, 0.650829, 0.289442, 0.029469, 0.610859, 0.042521, 379, 24113, 1.000000
28-Nov-2020, 76.392079, 1.224714, 5.503515, 1.856580, 02:49, 1.071266, 0.320765, 0.030743, 0.611182, 0.042124, 380, 24273, 1.000000
29-Nov-2020, 73.105160, 1.092448, 9.769488, 1.637009, 02:03, 0.469615, 0.358248, 0.028507, 0.605188, 0.041527, 386, 25763, 1.000000
30-Nov-2020, 71.552526, 0.948420, 10.841700, 1.287351, 02:11, 0.456990, 0.440129, 0.035645, 0.631076, 0.048189, 278, 18938, 1.000000
